"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round"
2029,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,5.8853,5,5,80,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2040,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,7.00025,9.5,19,70,130,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2043,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,8.0083,10,10,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2047,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,6.8888,7,7,29,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2050,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,6.7844,16,16,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2052,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,7.395,8,8,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2064,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,7.5559,19,19,11,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2068,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,7.1051,24,24,8,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2075,6.2246,7,7,57,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2076,7.2192,34,34,6,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2077,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,6.458,11,11,45,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2079,8.8514,5,5,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2080,6.464,11,11,45,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2081,10.1833,10.3333333333333,31,6,294,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2082,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,9.9003,9,9,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2084,8.4665,14,14,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2085,10.6634,16.5,33,4,133,0,62,1,0,0,1,0,0,0,0,0,0,0,0,0
2086,6.0874,5,5,80,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2087,9.2313,13.5,27,14,176,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0
2088,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,5.9961,5,5,20,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2090,9.9395,8,8,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2091,6.9451,23,23,22,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2092,9.5661,7,7,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2093,9.5972,22,22,0,68,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0
2094,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,9.1034,13.5,27,60,140,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2096,8.4068,5,5,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2097,7.1531,25,50,80,120,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2098,8.0157,23,23,9,61,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0
2099,6.9768,23,23,17,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
